Line 1:
X	Y
1.0	1600.2028971457978
1.0344827586206897	1352.1290546114722
1.0689655172413792	1147.1319268934183
1.103448275862069	977.1048494541303
1.1379310344827587	835.3860994554437
1.1724137931034484	716.8574448214221
1.206896551724138	616.9912966634109
1.2413793103448276	532.5741784386278
1.2758620689655173	460.9316181591916
1.3103448275862069	399.75664801152516
1.3448275862068966	347.68765888700136
1.3793103448275863	302.9062081096164
1.4137931034482758	264.46205752057654
1.4482758620689655	231.3144159499314
1.4827586206896552	202.57699251469708
1.5172413793103448	177.7322299922419
1.5517241379310345	156.11144230651726
1.5862068965517242	137.23661164352308
1.6206896551724137	120.77856713406145
1.6551724137931034	106.37775894008561
1.6896551724137931	93.72958580785196
1.7241379310344827	82.64315569765833
1.7586206896551724	72.85659876089694
1.793103448275862	64.23101894814108
1.8275862068965516	56.60325624044795
1.8620689655172413	49.855756723089954
1.896551724137931	43.85069769946762
1.9310344827586206	38.51690970946558
1.9655172413793103	33.77149113685526
2.0	29.537561018050187

Line 2:
X	Y
1.0	2861.979073782646
1.0344827586206897	2371.097247621659
1.0689655172413792	1975.0096499099388
1.103448275862069	1653.3364633142023
1.1379310344827587	1390.6612261302437
1.1724137931034484	1174.812536940713
1.206896551724138	996.3104939302042
1.2413793103448276	848.1287244293144
1.2758620689655173	724.4612933343392
1.3103448275862069	620.7277644679695
1.3448275862068966	533.473392252911
1.3793103448275863	459.7404629202064
1.4137931034482758	397.0162278442529
1.4482758620689655	343.7550036838558
1.4827586206896552	298.26213548894583
1.5172413793103448	259.2358408622724
1.5517241379310345	225.76189292819083
1.5862068965517242	196.91720240658938
1.6206896551724137	171.98004966418097
1.6551724137931034	150.40560575980447
1.6896551724137931	131.66033202750774
1.7241379310344827	115.39749580986614
1.7586206896551724	101.20985717012424
1.793103448275862	88.82261236515957
1.8275862068965516	77.96857327464168
1.8620689655172413	68.47244435388599
1.896551724137931	60.1211010773826
1.9310344827586206	52.78003244529919
1.9655172413793103	46.28960167168794
2.0	40.55649810467909

Line 3:
X	Y
1.0	3945.3379586858705
1.0344827586206897	3253.319512238991
1.0689655172413792	2695.2158260122446
1.103448275862069	2242.1763704141617
1.1379310344827587	1873.4974936683584
1.1724137931034484	1572.4248691572584
1.206896551724138	1324.8941028960462
1.2413793103448276	1120.6854489919829
1.2758620689655173	951.4985791400549
1.3103448275862069	810.29449115148
1.3448275862068966	692.5625618070977
1.3793103448275863	593.8139283744899
1.4137931034482758	510.40762408261907
1.4482758620689655	439.7771171742102
1.4827586206896552	379.99639053055284
1.5172413793103448	328.9888400336346
1.5517241379310345	285.4395075090832
1.5862068965517242	248.19062985216402
1.6206896551724137	216.08184754508625
1.6551724137931034	188.43280237935352
1.6896551724137931	164.58215557653014
1.7241379310344827	143.93237452127977
1.7586206896551724	125.99308037885795
1.793103448275862	110.4307680277798
1.8275862068965516	96.84418649623628
1.8620689655172413	84.99606336959259
1.896551724137931	74.652091206786
1.9310344827586206	65.58533112187904
1.9655172413793103	57.63642094908894
2.0	50.63784099658739

Line 4:
X	Y
1.0	2798.2760175582484
1.0344827586206897	2324.77741524836
1.0689655172413792	1942.5541361774808
1.103448275862069	1631.5066748760757
1.1379310344827587	1376.6126150711482
1.1724137931034484	1166.8868038913008
1.206896551724138	993.0803937896409
1.2413793103448276	848.4533323719359
1.2758620689655173	727.2317048546571
1.3103448275862069	625.4234992613318
1.3448275862068966	539.4649929744571
1.3793103448275863	466.7128408272574
1.4137931034482758	404.746724767041
1.4482758620689655	351.85103664254905
1.4827586206896552	306.5128348508603
1.5172413793103448	267.60239153867934
1.5517241379310345	234.05601279094
1.5862068965517242	205.07177742715166
1.6206896551724137	179.9252950914605
1.6551724137931034	158.09034362217088
1.6896551724137931	139.0979910888306
1.7241379310344827	122.54110036428466
1.7586206896551724	108.05725628772676
1.793103448275862	95.36797258755794
1.8275862068965516	84.22622101684198
1.8620689655172413	74.45488318194163
1.896551724137931	65.83500562168967
1.9310344827586206	58.240088822514096
1.9655172413793103	51.53950426640943
2.0	45.620051979156685

Line 5:
X	Y
1.0	1837.8744319535117
1.0344827586206897	1543.8320095301071
1.0689655172413792	1302.8842494052863
1.103448275862069	1104.571273770776
1.1379310344827587	939.9850280592551
1.1724137931034484	802.9786918950715
1.206896551724138	688.1788611526555
1.2413793103448276	591.814908979678
1.2758620689655173	510.27005037536816
1.3103448275862069	441.0578657056428
1.3448275862068966	382.2880921955794
1.3793103448275863	332.03770926646706
1.4137931034482758	289.01477614798665
1.4482758620689655	251.9703316332793
1.4827586206896552	220.10509568119033
1.5172413793103448	192.53891353169368
1.5517241379310345	168.72499815140276
1.5862068965517242	147.9720322698851
1.6206896551724137	129.93879930805366
1.6551724137931034	114.18076139788205
1.6896551724137931	100.43304641077142
1.7241379310344827	88.39154304631685
1.7586206896551724	77.80618842801469
1.793103448275862	68.53206543104022
1.8275862068965516	60.32826399093271
1.8620689655172413	53.11556996090503
1.896551724137931	46.7346838721755
1.9310344827586206	41.10162360742171
1.9655172413793103	36.113565168342944
2.0	31.681224068548975

Line 6:
X	Y
1.0	3481.061862233632
1.0344827586206897	2870.369567444171
1.0689655172413792	2377.8783789506524
1.103448275862069	1978.470221226794
1.1379310344827587	1653.4419310024498
1.1724137931034484	1387.5930764147083
1.206896551724138	1168.464773584519
1.2413793103448276	987.8434066612986
1.2758620689655173	837.8241457724921
1.3103448275862069	712.640700302712
1.3448275862068966	607.9828640788363
1.3793103448275863	520.1913100705128
1.4137931034482758	446.0213713808606
1.4482758620689655	383.29790583960045
