Bins	Frequencies
-4.31241973799287	0.0025160600806759686
-4.283669246890317	0.005032120161351937
-4.254918755787764	0.026418630847097672
-4.226168264685211	0.05661135181520929
-4.197417773582658	0.1270610340741364
-4.168667282480105	0.25789615826928675
-4.139916791377552	0.39502143266612705
-4.111166300274999	0.6780781917421735
-4.0824158091724465	0.9774893413425836
-4.053665318069893	1.3221895723952215
-4.02491482696734	1.4907655978005343
-3.9961643358647874	1.7952088675623035
-3.9674138447622345	2.025428364944123
-3.938663353659681	2.1046842574854474
-3.909912862557128	2.1373930385342352
-3.8811623714545753	2.2040686306721486
-3.8524118803520224	2.211616810914176
-3.8236613892494695	2.2946467935764834
-3.7949108981469166	2.0946200171627436
-3.7661604070443637	2.1222966780501795
-3.737409915941811	2.055621085912266
-3.708659424839258	1.9600108028465795
-3.679908933736705	1.6920504042545628
-3.6511584426341517	1.4077356151382043
-3.622407951531599	1.11713067582013
-3.593657460429046	0.870556787913885
-3.564906969326493	0.5459850375066851
-3.53615647822394	0.3799250721820712
-3.507405987121387	0.22267131713981977
-3.478655496018834	0.1044164933480527
-3.449905004916281	0.05661135181520929
-3.421154513813728	0.023902570766421702
-3.392404022711175	0.007548180242027905
-3.3636535316086222	0.006290150201689921
-3.3349030405060693	0.0025160600806759686

Bins	Frequencies
-6.429118851114779	0.009211341349550652
-6.253836742672224	0.061210848967981756
-6.078554634229668	0.13401015963378463
-5.903272525787112	0.1640213040307084
-5.727990417344556	0.2047294899948516
-5.552708308902001	0.25108333678613876
-5.377426200459445	0.2730717000076454
-5.202144092016889	0.3051628247093071
-5.026861983574333	0.3408196299333741
-4.851579875131778	0.3366596693238996
-4.676297766689222	0.35092239141352644
-4.501015658246667	0.3530023717182637
-4.325733549804111	0.3345796890191607
-4.150451441361555	0.33012258836615405
-3.975169332918999	0.33160828858382263
-3.7998872244764432	0.3096199253623155
-3.6246051160338877	0.28198590131366347
-3.449323007591332	0.251380476829672
-3.274040899148776	0.23919773504478306
-3.0987587907062206	0.2038380698642494
-2.9234766822636646	0.1592670633341661
-2.748194573821109	0.12717593863250548
-2.572912465378553	0.10132475484505718
-2.3976303569359976	0.08468491240715922
-2.222348248493442	0.059428008706778404
-2.0470661400508865	0.03951962579000744
-1.87178403160833	0.02822830413571974
-1.6965019231657745	0.017234122524965735
-1.521219814723219	0.009508481393084543
-1.3459377062806634	0.003862820565940577
-1.170655597838107	0.0032685404788728124
-0.9953734893955515	0.002079980304737244
-0.8200913809529959	0.0017828402612033519
-0.6448092725104404	0.001188560174135568
-0.46952716406788486	0.00029714004353388975

Bins	Frequencies
-6.380334220342587	0.006561544972088775
-6.242393123974708	0.04213202561025423
-6.104452027606828	0.09876851905354682
-5.966510931238949	0.14608071174702902
-5.828569834871069	0.17474430294089052
-5.6906287385031895	0.21549495066228397
-5.55268764213531	0.2545188760226014
-5.41474654576743	0.2835278116886781
-5.276805449399551	0.32738655966000835
-5.138864353031671	0.3550141174372242
-5.000923256663792	0.37331737446462976
-4.862982160295912	0.41821215585260824
-4.725041063928034	0.42995386790791956
-4.587099967560153	0.4140680221860259
-4.4491588711922745	0.4368607573522235
-4.311217774824394	0.4237376674080515
-4.173276678456515	0.40681578826950143
-4.035335582088635	0.38091495285336535
-3.897394485720756	0.37435340788127536
-3.7594533893528763	0.3318760377988059
-3.6215122929849968	0.2849091895775389
-3.4835711966171172	0.24830267552272783
-3.3456301002492377	0.21238685041234717
-3.207689003881358	0.16818275796880228
-3.069747907513479	0.12328797658082592
-2.9318068111455995	0.10049524141462281
-2.79386571477772	0.0770118173039893
-2.6559246184098404	0.051801670832279795
-2.517983522041961	0.034189102749304666
-2.3800424256740813	0.023828768582848707
-2.2421013293062018	0.016921879138544735
-2.104160232938322	0.0062162004998735755
-1.9662191365704427	0.004834822611012781
-1.8282780402025631	0.0013813778888607947
-1.6903369438346836	0.0013813778888607992

Bins	Frequencies
-6.323937490932709	0.002865605471882901
-6.195641023595926	0.0154026294113707
-6.067344556259145	0.04764069097005324
-5.9390480889223625	0.06734172858924864
