1.868304703442247927e+01 1.789736106391772996e-01 1.178083512486327253e+07 2.052005659665705029e+00
1.794042155287144524e+01 1.883871505574072347e-01 9.221781762915102765e+06 2.209217229398548810e+00
1.731100370506828412e+01 1.981439655186192916e-01 7.267824611428176984e+06 2.373884291848689987e+00
1.677206158635158317e+01 2.082591177158093498e-01 5.763113915859221481e+06 2.548157827387679486e+00
1.630804987916762272e+01 2.187068739094301661e-01 4.597705473527722992e+06 2.732411359985448929e+00
1.590509463853059202e+01 2.294922217803781195e-01 3.684644351836006623e+06 2.927047009737116845e+00
1.555385922790223319e+01 2.406206750142430295e-01 2.967271580759464763e+06 3.132496540387291528e+00
1.524548947563288870e+01 2.520862765763773328e-01 2.400122500930116046e+06 3.348030586923468999e+00
1.497373315807352157e+01 2.638794573754338901e-01 1.948601174809188349e+06 3.574958161974135518e+00
1.473365817459800198e+01 2.760242217536977849e-01 1.588408277810764965e+06 3.814370006726235385e+00
1.451988862138499847e+01 2.884756001640363943e-01 1.299416563190230634e+06 4.066832061888339567e+00
1.433008527045033986e+01 3.012724349394200751e-01 1.066363146360702580e+06 4.332951015935077699e+00
1.415974178620699497e+01 3.143991966864987386e-01 8.783772493214377901e+05 4.613376736912275788e+00
1.400684432879024577e+01 3.278529699785988072e-01 7.249709909599401290e+05 4.908804975495688616e+00
1.386999906394485294e+01 3.416252796080020970e-01 6.007561089347230736e+05 5.219980335828835472e+00
1.374627990078147377e+01 3.557253094174325780e-01 4.988337659085033229e+05 5.547699516939673003e+00
1.363469482085407414e+01 3.701520460286586989e-01 4.153724042444226216e+05 5.892814832595474783e+00
1.353354207101624596e+01 3.848999647346527664e-01 3.467027070932415663e+05 6.256238021703228291e+00
1.344161487176062231e+01 3.999853549996252866e-01 2.901642475671150023e+05 6.638944365082380727e+00
1.335805763257656054e+01 4.153807201947604111e-01 2.433051471975588065e+05 7.041977127829774474e+00
1.328197765991471080e+01 4.310944450779216619e-01 2.045713406147804926e+05 7.466452349714216119e+00
1.321230928467490884e+01 4.471313273610033057e-01 1.722158219139813154e+05 7.913564009190737103e+00
1.314868140466667334e+01 4.634732790226703258e-01 1.453414396171531989e+05 8.384589589803127296e+00
1.309006110321818284e+01 4.801335737937225678e-01 1.228803512093094469e+05 8.880896081018049060e+00
1.303610829228745871e+01 4.970917127889619147e-01 1.040910062014935684e+05 9.403946448967330340e+00
1.298639716278079703e+01 5.143486815985824911e-01 8.831498259828922164e+04 9.953107655371892903e+00
1.294015006779115318e+01 5.319389521954902555e-01 7.504967202841232938e+04 1.053167035729621404e+01
1.289780201624189360e+01 5.497967498163596201e-01 6.392002138764895790e+04 1.114161160157280506e+01
1.285802319245050107e+01 5.679525538092863313e-01 5.450525850636667019e+04 1.178482220394577418e+01
1.282080530757482784e+01 5.864172084713644706e-01 4.653447224311436003e+04 1.246142754643860506e+01
1.278595396926239758e+01 6.051311230793879892e-01 3.981004301056049735e+04 1.317322761562551037e+01
1.275335850499913448e+01 6.241777723031733949e-01 3.409652845977269317e+04 1.392429764721048713e+01
1.272240599618524826e+01 6.434762417896315867e-01 2.924551278234747952e+04 1.471529799454071963e+01
1.269293884383838211e+01 6.630372135166396896e-01 2.511767773134623349e+04 1.554708920086122959e+01
1.266481239935244218e+01 6.828562128762688532e-01 2.159351756507681785e+04 1.642539692383952499e+01
1.263809768565487168e+01 7.029742397373394125e-01 1.858949350373738343e+04 1.734827593966103976e+01
1.261239869530376190e+01 7.233245023648410266e-01 1.602972884007119319e+04 1.832193888026420936e+01
1.258737088556903672e+01 7.439265941430230900e-01 1.383037271628523740e+04 1.934323956402369049e+01
1.256354581812741777e+01 7.648529943910068463e-01 1.194412154728644055e+04 2.041511928263222941e+01
1.253992546103088301e+01 7.860357879093615718e-01 1.032326149734585124e+04 2.155149879132661539e+01
1.251721512908303957e+01 8.075572034903669705e-01 8.928289352677838906e+03 2.274498163187438848e+01
1.249531948508224488e+01 8.294867848859639459e-01 7.723864475021485305e+03 2.399590643374235910e+01
1.247368993914506419e+01 8.517450384256273210e-01 6.684888938293749561e+03 2.532020676139226723e+01
1.245296706354937122e+01 8.744075990406660059e-01 5.787649220687876550e+03 2.669560087539093374e+01
1.243266820470132572e+01 8.974580356189770791e-01 5.012928779239738105e+03 2.816164449330153730e+01
1.241309986810237653e+01 9.209351045277636150e-01 4.343022625921323197e+03 2.967287617650876541e+01
1.239422302770498518e+01 9.448321171174305366e-01 3.762998403711545961e+03 3.129357375268519803e+01
1.237588039544730556e+01 9.690888977558977935e-01 3.262452843419986493e+03 3.295327893931300878e+01
1.235814638630907325e+01 9.937730266871694917e-01 2.829178502389200276e+03 3.473979422466697287e+01
1.234094045711599819e+01 1.018813794919648519e+00 2.455287010016276781e+03 3.656585431030973155e+01
1.232419691544042806e+01 1.044210361750761651e+00 2.131587105504658666e+03 3.852511521766978575e+01
1.230816368471233702e+01 1.070047029102589864e+00 1.851261470690625856e+03 4.054353218874769027e+01
1.229224232414059870e+01 1.096133095265444224e+00 1.609389387461730394e+03 4.269107652536039410e+01
1.227696232178430868e+01 1.122600689344171343e+00 1.399509734050581073e+03 4.492364581036266458e+01
